pro_code,pro_name,city_clean,is_beijing,is_shanghai,male,birth_year,age,hs_residence,is_han,high_school,junior_college,bachelor,graduate,rural,Migrate,Migrate_1,Migrate_2,Migrate_3,migration_year,migration_interval,marriage,employed,income_total_m,exp_total_m,food_exp_m,income_to_home,rent_m,income_total_m_win,exp_total_m_win,food_exp_m_win,income_to_home_win,rent_m_win,employment_category,employment_group,workdays_w,workhours_d,hours_per_week,hours_per_week_filled,marriage_year,length_marriage,kids_number,birth_here,Pension_Insurance,Medical_Insurance,Work_Insurance,Unemploy_Insurance,Maternity_Insurance,Housing_Fund,Happiness,year,pro_name_true,English_name,lowest_temp(Jan)_a,average_temp_a,highest_temp(July)_a,precipitation(mm)_a,gdp per capita(k)_a,unemployment(%)_a,education_budget(10k)_a,marriage(10k)_a,population(10k)_a,Medical technicians per 10k_a,road_length_per_10K (km)_a,manageable_income_per_capita_a,lowest_temp(Jan)_b,average_temp_b,highest_temp(July)_b,precipitation(mm)_b,gdp per capita(k)_b,unemployment(%)_b,education_budget(10k)_b,marriage(10k)_b,population(10k)_b,Medical technicians per 10k_b,road_length_per_10K (km)_b,manageable_income_per_capita_b,gdp_before_move,gdp_after_move
11,北京市,北京市,1,0,1,1975,36,35.0,1,1,0,0,0,0,1,1,0,0,2002,9,1,1,50000.0,6100.0,3000.0,20000.0,3100.0,9000,4500,2000,11000,1600.0,self_employed,self_employed,,,,0.0,2002.0,9,1,1,0,0,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,11.16,22.4,32.21,1617.9,70.2,3.5,8928771.0,37.53,3945.0,54.0,5.744134982101447,23331.0,19892.5502093472,5770.342361127442
11,北京市,北京市,1,0,0,1977,34,41.0,1,1,0,0,0,1,1,1,0,0,1999,12,1,1,8000.0,3500.0,2000.0,10000.0,1500.0,8000,3500,2000,10000,1500.0,self_employed,self_employed,,,,0.0,1999.0,12,1,0,0,0,0,0,0,0,11,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,39.8,3.0,16385611.0,117.58,9645.0,52.0,3.9215300951211325,15695.0,19892.5502093472,3736.494170049153
11,北京市,北京市,1,0,0,1980,31,41.0,1,1,0,0,0,1,1,1,0,0,2002,9,1,1,6000.0,3500.0,1500.0,3000.0,2000.0,6000,3500,1500,3000,1600.0,other,informal,,,,0.0,2002.0,9,1,0,0,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,39.8,3.0,16385611.0,117.58,9645.0,52.0,3.9215300951211325,15695.0,19892.5502093472,5770.342361127442
11,北京市,北京市,1,0,0,1973,38,41.0,1,1,0,0,0,1,1,1,0,0,2004,7,1,1,7000.0,4000.0,2500.0,3000.0,600.0,7000,4000,2000,3000,600.0,private_enterprise,formal,6.0,9.0,54.0,54.0,2002.0,9,1,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,39.8,3.0,16385611.0,117.58,9645.0,52.0,3.9215300951211325,15695.0,19892.5502093472,8128.198406163446
11,北京市,北京市,1,0,0,1984,27,35.0,1,0,1,0,0,1,1,1,0,0,2007,4,1,1,13000.0,6000.0,3000.0,6000.0,2170.0,9000,4500,2000,6000,1600.0,other,informal,,,,0.0,2009.0,2,1,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,11.16,22.4,32.21,1617.9,70.2,3.5,8928771.0,37.53,3945.0,54.0,5.744134982101447,23331.0,19892.5502093472,13125.60506340697
11,北京市,北京市,1,0,1,1971,40,35.0,1,1,0,0,0,0,1,1,0,0,1998,13,1,1,10000.0,8000.0,3000.0,0.0,,9000,4500,2000,0,0.0,self_employed,self_employed,,,,0.0,2003.0,8,1,1,0,0,0,0,0,0,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,11.16,22.4,32.21,1617.9,70.2,3.5,8928771.0,37.53,3945.0,54.0,5.744134982101447,23331.0,19892.5502093472,3373.866862894452
11,北京市,北京市,1,0,0,1974,37,37.0,1,1,0,0,0,1,1,1,0,0,1997,14,1,1,4000.0,3000.0,1200.0,10000.0,700.0,4000,3000,1200,10000,700.0,private_enterprise,formal,6.0,8.0,48.0,48.0,1997.0,14,1,0,0,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,3076.838893980908
11,北京市,北京市,1,0,1,1976,35,33.0,1,1,0,0,0,0,1,1,0,0,2003,8,1,1,7000.0,3500.0,1500.0,10000.0,2000.0,7000,3500,1500,10000,1600.0,self_employed,self_employed,,,,0.0,2002.0,9,1,0,0,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,76.0,3.0,16079755.0,43.68,5890.0,68.0,7.406184792191322,32658.0,19892.5502093472,6846.230659788841
11,北京市,北京市,1,0,0,1982,29,32.0,1,0,1,0,0,0,1,1,0,0,2001,10,1,1,5000.0,3400.0,1000.0,0.0,200.0,5000,3400,1000,0,200.0,public_sector,formal,5.0,8.0,40.0,40.0,2008.0,3,1,0,1,1,1,1,0,0,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,85.9,3.0,20800931.0,83.45,8281.0,58.0,6.672937235986111,27173.0,19892.5502093472,5051.365098092374
11,北京市,北京市,1,0,1,1981,30,37.0,1,1,0,0,0,1,1,1,0,0,2001,10,1,1,5000.0,4000.0,2000.0,6000.0,500.0,5000,4000,2000,6000,500.0,casual_worker,informal,5.0,9.0,45.0,45.0,2005.0,6,1,0,0,0,0,0,0,0,5,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,5051.365098092374
11,北京市,北京市,1,0,0,1971,40,37.0,1,1,0,0,0,1,1,1,0,0,1997,14,1,1,5000.0,3000.0,2000.0,2000.0,,5000,3000,2000,2000,0.0,other,informal,,,,0.0,2000.0,11,1,1,0,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,3076.838893980908
11,北京市,北京市,1,0,0,1973,38,37.0,1,1,0,0,0,1,1,1,0,0,1993,18,1,1,2000.0,1800.0,1000.0,2000.0,,2000,1800,1000,2000,0.0,private_enterprise,formal,7.0,7.0,49.0,49.0,1999.0,12,0,0,1,1,1,1,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,2502.455523944403
11,北京市,北京市,1,0,0,1977,34,33.0,1,1,0,0,0,0,1,1,0,0,2006,5,1,1,3000.0,1500.0,1000.0,2000.0,500.0,3000,1500,1000,2000,500.0,self_employed,self_employed,,,,0.0,2001.0,10,1,0,0,0,0,0,0,0,11,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,76.0,3.0,16079755.0,43.68,5890.0,68.0,7.406184792191322,32658.0,19892.5502093472,10637.66793207404
11,北京市,北京市,1,0,0,1977,34,61.0,1,1,0,0,0,1,1,1,0,0,1994,17,1,1,4000.0,2500.0,800.0,8000.0,800.0,4000,2500,800,8000,800.0,self_employed,self_employed,,,,0.0,2001.0,10,2,1,0,0,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,48.4,3.3,9101672.0,38.12,3677.0,48.0,6.578322833185815,12371.0,19892.5502093472,2721.876158708729
11,北京市,北京市,1,0,0,1976,35,13.0,1,1,0,0,0,0,1,1,0,0,2000,11,1,1,3000.0,1500.0,1000.0,1000.0,,3000,1500,1000,1000,0.0,private_enterprise,formal,6.0,6.0,36.0,36.0,2001.0,10,0,0,1,1,1,1,1,1,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,4421.234449630841
11,北京市,北京市,1,0,0,1976,35,33.0,1,1,0,0,0,1,1,1,0,0,2001,10,1,1,5000.0,3500.0,1500.0,2000.0,2000.0,5000,3500,1500,2000,1600.0,self_employed,self_employed,,,,0.0,1999.0,12,2,0,0,0,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,76.0,3.0,16079755.0,43.68,5890.0,68.0,7.406184792191322,32658.0,19892.5502093472,5051.365098092374
11,北京市,北京市,1,0,0,1971,40,13.0,1,1,0,0,0,1,1,1,0,0,2006,5,1,1,4000.0,2900.0,900.0,1500.0,2000.0,4000,2900,900,1500,1600.0,self_employed,self_employed,,,,0.0,1992.0,19,2,0,0,0,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,10637.66793207404
11,北京市,北京市,1,0,0,1990,21,43.0,1,0,1,0,0,1,1,1,0,0,2007,4,0,0,2500.0,1000.0,500.0,5000.0,,2500,1000,500,5000,0.0,casual_worker,informal,6.0,8.0,48.0,48.0,,0,0,0,0,0,0,0,0,0,8,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,2.51,17.4,32.34,1220.8,44.8,4.1,11285463.0,62.2,6611.0,51.0,2.890957443064636,17622.0,19892.5502093472,13125.60506340697
11,北京市,北京市,1,0,0,1975,36,41.0,1,1,0,0,0,1,1,1,0,0,1992,19,1,1,3000.0,2000.0,600.0,1000.0,700.0,3000,2000,600,1000,700.0,self_employed,self_employed,,,,0.0,1997.0,14,1,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,39.8,3.0,16385611.0,117.58,9645.0,52.0,3.9215300951211325,15695.0,19892.5502093472,2196.769296110859
11,北京市,北京市,1,0,0,1978,33,36.0,1,1,0,0,0,1,1,1,0,0,2002,9,1,1,9000.0,1450.0,800.0,5000.0,650.0,9000,1450,800,5000,650.0,self_employed,self_employed,,,,0.0,2005.0,6,1,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,5.45,20.2,34.51,1446.3,38.8,3.3,8930127.0,37.12,4480.0,44.0,4.723109738125797,16734.0,19892.5502093472,5770.342361127442
11,北京市,北京市,1,0,0,1982,29,13.0,1,0,1,0,0,1,1,1,0,0,2001,10,1,1,8000.0,3000.0,2000.0,12000.0,1000.0,8000,3000,2000,11000,1000.0,other,informal,,,,0.0,2008.0,3,1,1,0,0,0,0,0,0,14,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,5051.365098092374
11,北京市,北京市,1,0,0,1978,33,37.0,1,0,1,0,0,0,1,1,0,0,2000,11,1,1,8000.0,2500.0,600.0,5000.0,600.0,8000,2500,600,5000,600.0,public_sector,formal,5.0,8.0,40.0,40.0,2005.0,6,1,0,1,1,1,1,0,1,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,4421.234449630841
11,北京市,北京市,1,0,0,1984,27,13.0,1,1,0,0,0,0,1,1,0,0,2003,8,1,1,80000.0,8000.0,2000.0,20000.0,,9000,4500,2000,11000,0.0,private_enterprise,formal,,,,0.0,2003.0,8,2,0,0,0,0,0,0,0,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,6846.230659788841
